seed,method,eta2,R2_perm,p_perm,r_pre_post,r_within,age_R2,age_R2_gain,n
15,RELIEF,0.0018034464011200749,0.0018034464011200651,1.0,0.7533661923880832,0.9716372112973137,0.009233848247079516,-0.0011296114691459382,75
15,LME,0.00043348832320509376,0.0004334883232053243,1.0,0.7744129309621106,1.0,0.011600001304865815,0.0012365415886403611,75
16,Original,0.38683008168302585,0.38683008168302574,0.001,1.0,1.0,0.011810648889839678,0.0,75
16,ComBat,0.00041645577383323017,0.00041645577383349065,1.0,0.7248204785992901,0.9960880431986903,0.014221077404638518,0.00241042851479884,75
16,ComBat-joint,0.0018934283882298783,0.0018934283882297593,1.0,0.7627200849638773,0.9977642186817747,0.016007374265542024,0.004196725375702346,75
16,CovBat,0.001394507805775928,0.001394507805775902,1.0,0.7513280663486266,0.9950238008965462,0.016539122303845695,0.004728473414006017,75
16,RELIEF,0.0017267070414665215,0.0017267070414663977,1.0,0.7613090793891973,0.9952722649424377,0.016155471694913284,0.004344822805073607,75
16,LME,0.000501876229685566,0.00050187622968546,1.0,0.7717202581858209,1.0,0.01945118903508045,0.007640540145240772,75
17,Original,0.37134424430010193,0.37134424430010193,0.001,1.0,1.0,0.013108150023281848,0.0,75
17,ComBat,0.0015392877953083126,0.0015392877953079654,1.0,0.7374814541046959,0.9973829970505452,0.01822762386645954,0.005119473843177694,75
17,ComBat-joint,0.0021071033001964726,0.0021071033001967034,1.0,0.7713501451557201,0.9984972612732698,0.02005699178604175,0.006948841762759901,75
17,CovBat,0.001494349168498004,0.0014943491684978956,1.0,0.7410071240278138,0.9704984944734073,0.02012777437454593,0.007019624351264082,75
17,RELIEF,0.0016704627561664786,0.0016704627561665577,1.0,0.7509368741826374,0.9725040852722172,0.02093029161079667,0.007822141587514823,75
17,LME,0.0008872505917118596,0.0008872505917118663,1.0,0.7760672149973096,1.0,0.02556327570189479,0.012455125678612941,75
18,Original,0.4091166946148766,0.4091166946148766,0.001,1.0,1.0,0.012039365523341498,0.0,75
18,ComBat,0.0003525782359838219,0.0003525782359838558,1.0,0.7205333164804779,0.9952425989571659,0.0063737901740165736,-0.005665575349324925,75
