cohort,method,biomarker,n,vendor_F,vendor_p,vendor_eta2,vendor_ICC,age_R2,sex_R2,r_pre_post
ALL,Original,T2w_CSA,246,5.600598162331722,0.004188755822105576,0.044064294293710914,0.053124323156612786,0.0018586876428936527,0.10519191551859242,1.0
ALL,Original,GM_CSA_mm2,246,24.419427039093605,2.169073211561764e-10,0.16734870424450965,0.2221547555025959,0.0021656006332053668,0.06903023828431432,1.0
ALL,Original,MTR,246,38.95236876548991,2.120618818366397e-15,0.24276593150470108,0.3163953255453242,0.0024773071397378166,5.139408650878252e-07,1.0
ALL,Original,MTsat,246,68.23393341310424,3.0296957856995104e-24,0.3596295727688294,0.4505271145469948,0.0054797882516270935,0.0035696970443444,1.0
ALL,Original,FA,246,54.988494692736566,1.9951488329645158e-20,0.31156985495553435,0.3970078116882058,0.0035472172928501244,0.007702977580240633,1.0
ALL,Original,MD,246,124.64569391286669,5.573914374230678e-38,0.5063899023843573,0.601255934710969,0.0032432302686441483,0.008078817809700878,1.0
ALL,Original,AD,246,339.1621329286894,4.7319735138813865e-71,0.736249213219337,0.8048372435934932,0.00013157285276255148,0.003730181593130877,1.0
ALL,Original,RD,246,57.1468110586062,4.5560940500579996e-21,0.31988710416923594,0.40642857137532434,0.007052999457286657,0.009822756268080601,1.0
ALL,ComBat,T2w_CSA,246,0.00446948010205239,0.9955405749983686,3.678449131276642e-05,-0.012289822108426858,0.0003891855819172507,0.11500021836540986,0.9731638802876815
ALL,ComBat,GM_CSA_mm2,246,0.002540242665909365,0.9974630075073938,2.09069099365093e-05,-0.012313931814309995,0.0001936748581203851,0.08195891900995722,0.9129522457064125
ALL,ComBat,MTR,246,0.002552352595755801,0.9974509286266251,2.1006575963508473e-05,-0.012313780472773971,0.0001924464081656252,0.0006898380824112982,0.7757217371614064
ALL,ComBat,MTsat,246,6.37767863358788e-05,0.9999362252640976,5.249115461622356e-07,-0.012344881924651448,0.0001479172125433692,0.003703431332164109,0.7750168233834909
ALL,ComBat,FA,246,0.013478997353899912,0.9866121751547023,0.00011092594389625869,-0.012177245254191869,0.007247540586264423,0.010009484619008635,0.8151682387804254
ALL,ComBat,MD,246,0.0746410154995311,0.9280978612691819,0.0006139521768360953,-0.011413667367624369,0.03828335842287278,0.015650898008084613,0.6748997798919488
ALL,ComBat,AD,246,0.08069281214502119,0.9225017293761889,0.0006636975845309008,-0.011338176278105058,0.04799418952178691,0.01605868898234475,0.4865584438704123
ALL,ComBat,RD,246,0.0583670556925563,0.9433168593189696,0.0004801566285092978,-0.011616727285666607,0.02898344838166611,0.012687031407578875,0.7804324393335299
ALL,ComBat-joint,T2w_CSA,246,0.0022124484676051665,0.997790017291517,1.8209120830149978e-05,-0.012318028376906036,0.00039602048385756206,0.1140809187940579,0.9742490216170803
ALL,ComBat-joint,GM_CSA_mm2,246,0.009953800916038815,0.9900959778698757,8.191757633576581e-05,-0.012221290750480134,0.00019376361881262572,0.08166451137371078,0.9158812996738901
