cohort,method,task,repeat,auc
ALL,LME,sex,12,0.660079575596817
ALL,LME,sex,13,0.6384615384615385
ALL,LME,sex,14,0.6607427055702918
ALL,LME,sex,15,0.6542440318302387
ALL,LME,sex,16,0.6342838196286472
ALL,LME,sex,17,0.6755968169761274
ALL,LME,sex,18,0.661604774535809
ALL,LME,sex,19,0.6763925729442972
HC,Original,vendor,0,0.9807457722781497
HC,Original,vendor,1,0.9849608071861837
HC,Original,vendor,2,0.9836023677512857
HC,Original,vendor,3,0.9803608803988232
HC,Original,vendor,4,0.9839463768028568
HC,Original,vendor,5,0.9842865572417837
HC,Original,vendor,6,0.985165136168091
HC,Original,vendor,7,0.9867808286791205
HC,Original,vendor,8,0.9843994045191012
HC,Original,vendor,9,0.9840143377659499
HC,Original,vendor,10,0.984209762658414
HC,Original,vendor,11,0.9797130010347833
HC,Original,vendor,12,0.9854229178955357
HC,Original,vendor,13,0.9800137284436131
HC,Original,vendor,14,0.9855678483158231
HC,Original,vendor,15,0.9793758890004889
HC,Original,vendor,16,0.9837762343810645
HC,Original,vendor,17,0.9842722903373797
HC,Original,vendor,18,0.9811951583450931
HC,Original,vendor,19,0.9839616452284243
HC,ComBat,vendor,0,0.7262022182262123
HC,ComBat,vendor,1,0.7474225141798518
HC,ComBat,vendor,2,0.7081059021564832
HC,ComBat,vendor,3,0.7562317454965045
HC,ComBat,vendor,4,0.7413923509584673
HC,ComBat,vendor,5,0.7599603077777192
HC,ComBat,vendor,6,0.7365248858310679
HC,ComBat,vendor,7,0.7633148205158005
HC,ComBat,vendor,8,0.7464759159108026
HC,ComBat,vendor,9,0.768113203271218
HC,ComBat,vendor,10,0.7651597793978898
HC,ComBat,vendor,11,0.7495806904280532
HC,ComBat,vendor,12,0.7273533508929347
HC,ComBat,vendor,13,0.7426766554510401
HC,ComBat,vendor,14,0.7634078323928669
HC,ComBat,vendor,15,0.7550388895683939
HC,ComBat,vendor,16,0.7611064095609978
HC,ComBat,vendor,17,0.7754559724419213
HC,ComBat,vendor,18,0.7823323591673566
HC,ComBat,vendor,19,0.7369719136465419
HC,ComBat-joint,vendor,0,0.7412627084766545
HC,ComBat-joint,vendor,1,0.7569369450854673
HC,ComBat-joint,vendor,2,0.7159314939799049
HC,ComBat-joint,vendor,3,0.7774941483946719
HC,ComBat-joint,vendor,4,0.7529558553512231
HC,ComBat-joint,vendor,5,0.7593616752263374
HC,ComBat-joint,vendor,6,0.7402352230571042
HC,ComBat-joint,vendor,7,0.7643739445233947
HC,ComBat-joint,vendor,8,0.7541424967365856
HC,ComBat-joint,vendor,9,0.7621101880180475
HC,ComBat-joint,vendor,10,0.7489995412823095
HC,ComBat-joint,vendor,11,0.7660386011750514
HC,ComBat-joint,vendor,12,0.7381387924338852
HC,ComBat-joint,vendor,13,0.7496500900438473
HC,ComBat-joint,vendor,14,0.7694786159191734
HC,ComBat-joint,vendor,15,0.7561267352495507
HC,ComBat-joint,vendor,16,0.7757108224081071
HC,ComBat-joint,vendor,17,0.7745106639336082
HC,ComBat-joint,vendor,18,0.7780142684315008
HC,ComBat-joint,vendor,19,0.7448484137960515
HC,CovBat,vendor,0,0.6473494397746293
HC,CovBat,vendor,1,0.6789674096752174
HC,CovBat,vendor,2,0.6852520417778339
HC,CovBat,vendor,3,0.6710439141737722
HC,CovBat,vendor,4,0.6934543927872575
HC,CovBat,vendor,5,0.6868870781017201
HC,CovBat,vendor,6,0.6815531053389069
HC,CovBat,vendor,7,0.6791169556933836
HC,CovBat,vendor,8,0.6665685796309462
HC,CovBat,vendor,9,0.6564814691356794
HC,CovBat,vendor,10,0.6612927114801045
HC,CovBat,vendor,11,0.6585842097452134
HC,CovBat,vendor,12,0.6523472451823653
HC,CovBat,vendor,13,0.6302154087604861
HC,CovBat,vendor,14,0.686342593125044
HC,CovBat,vendor,15,0.6764844251289995
HC,CovBat,vendor,16,0.67510086340955
HC,CovBat,vendor,17,0.6855078156377488
HC,CovBat,vendor,18,0.6787369020075436
HC,CovBat,vendor,19,0.6570015727880295
HC,RELIEF,vendor,0,0.71003056150739
HC,RELIEF,vendor,1,0.7356031054876399
HC,RELIEF,vendor,2,0.7468197123883401
HC,RELIEF,vendor,3,0.7346647604359308
HC,RELIEF,vendor,4,0.7325517887532259
HC,RELIEF,vendor,5,0.7365081627925142
HC,RELIEF,vendor,6,0.735991392877913
HC,RELIEF,vendor,7,0.7230583768011174
HC,RELIEF,vendor,8,0.7342954964862742
HC,RELIEF,vendor,9,0.7430621174466073
HC,RELIEF,vendor,10,0.7147287946916028
HC,RELIEF,vendor,11,0.7292692282161154
HC,RELIEF,vendor,12,0.7221824963825961
HC,RELIEF,vendor,13,0.7171159632817781
HC,RELIEF,vendor,14,0.7445723632684605
HC,RELIEF,vendor,15,0.7572792055578655
HC,RELIEF,vendor,16,0.744905295245687
HC,RELIEF,vendor,17,0.7401444727153592
HC,RELIEF,vendor,18,0.7480361924021205
HC,RELIEF,vendor,19,0.7122692037348405
HC,LME,vendor,0,0.8481030622861697
HC,LME,vendor,1,0.8611915215740188
HC,LME,vendor,2,0.841235700015121
HC,LME,vendor,3,0.8477403212680311
HC,LME,vendor,4,0.8391990169058077
HC,LME,vendor,5,0.8517305319607127
HC,LME,vendor,6,0.8603231890448771
HC,LME,vendor,7,0.8706150593967323
HC,LME,vendor,8,0.8281900204959228
HC,LME,vendor,9,0.853040105137664
HC,LME,vendor,10,0.8504959010195913
HC,LME,vendor,11,0.8520465666618516
HC,LME,vendor,12,0.8539477853908339
HC,LME,vendor,13,0.8337192458755615
HC,LME,vendor,14,0.8478443366218467
HC,LME,vendor,15,0.8554019246587677
HC,LME,vendor,16,0.8586153921660312
HC,LME,vendor,17,0.8550909792207212
HC,LME,vendor,18,0.8651139639935644
HC,LME,vendor,19,0.836589424877161
ALL,Permutation,vendor,0,0.5124394568240004
ALL,Permutation,vendor,1,0.5444667671454838
ALL,Permutation,vendor,2,0.4241251404459117
ALL,Permutation,vendor,3,0.4383626510177258
ALL,Permutation,vendor,4,0.4716212414473799
ALL,Permutation,vendor,5,0.46220831078075225
ALL,Permutation,vendor,6,0.512236074824305
ALL,Permutation,vendor,7,0.4350582335144915
ALL,Permutation,vendor,8,0.536228121182435
ALL,Permutation,vendor,9,0.5212588963562411
ALL,Permutation,vendor,10,0.5492795720366401
ALL,Permutation,vendor,11,0.507977841210903
ALL,Permutation,vendor,12,0.5315202271085399
ALL,Permutation,vendor,13,0.4558733668329888
ALL,Permutation,vendor,14,0.46325429522571593
ALL,Permutation,vendor,15,0.5165028480333936
ALL,Permutation,vendor,16,0.52138969519807
ALL,Permutation,vendor,17,0.5107675974106046
ALL,Permutation,vendor,18,0.4640320422251106
ALL,Permutation,vendor,19,0.5152929898652008
